disclosure_text,is_renovation_candidate
"Central A/C on first floor, heat pump with splits on second floor, every room has direct A/C except basement home office; video/voice recording device on premises",False
"Seller believes there may be an easement, Buyers and buyers agents to perform due diligence. Some photos may be virtually enhanced.",False
"Buyers and agents must verify all information and perform their own due diligence.  Cabin has it's own electric meter, furnace & water heater; it shares a septic with the house, rated for 3 bedrooms.",False
"buyer/buyer's agent to do their own due diligence/selling ""as is"" seller/seller's agent has no warranties nor guarantees",True
"Property being sold in ""as is, as shown"" condition, with no warranties or representations. Fireplace in living room never used by current owner. Outside shower not functioning.",True
Seller never occupied the property.  Buyer and buyers agent to do their due diligence to verify information.,False
owner to complete engineering plans  and new title v prior to closing,False
"Refrigerator, dishwasher, gas range, wall oven, microwave, washer & dryer stay as gifts to buyer w/ no value or warranty. Buyer/Buyer's Agent to verify any & all information. Central vac & Jacuzzi tub unknown if working~owners never used. Title V passed. Sprinkler system in front yard only.",False
kitchen appliances belong to tenant unsure if they stay. Tenant searching for place to move. Buyer to do their due diligence to confirm all information provided by the Town & Owner. Seller has never occupied the property. uncertain if forced air on 2nd floor.,False
"Property disclosure, deed",False
"New roof (7/24) New Solar skylight (7/24) Home to be sold as is. Oven does not work, trying to get it fixed. Home has surveillance cameras.",True
"This is an estate sale, Being sold ""as is "". All appliances remain as gifts to the buyer. Central Vac & jacuzzi need repair.   Please allow 48 hrs. for acceptance and review of offers if any.",True
The septic system is designed for 3 bedrooms on this property according to the Town of  Falmouth. The seller has been used the extra room on the second level as the fourth bedroom…,False
google maps,False
"Listing agent is related to owner.  House needs some work.  Inspections are for informational purposes only. Newer roof, driveway, windows, furnace and AC.  Optional HOA of $25 a year.",False
"Slider has broken seal, liner in chimney has collapsed, Shed is in bad condition, Broiler in oven doesn't work.  Irrigation was disrupted when new leaching field went in and may not be functioning. There is cat in the residence.",False
all information to be verified by buyers and agents,False
Subject to Title 5 Inspection,True
All windows were replaced in 2023 except the picture window in Living room. Property is located in Dennis Historic District.,False
"Surround sounds speakers have a crackle sound, we don't know if central vac works. The assessor info says 3 bedrooms but that would have to mean the 3rd is in the basement & doesn't have the necessary egress.",False
Listing agent related to sellers,False
This property is in the AE Flood Zone. Mass Energy Save Insulation 2015. Electric heat pump water heater 2015.,False
"Easements on property for sewer lines, etc, see broker for details...",False
Airbnb superhost $30k per season. Turn key fully furnished if buyer so desires.,False
HOME TO BE SOLD AS IS,True
"Roof is approx 25 years old, Boiler is approx 15 years old. Fireplace has not been used in many years so condition is unknown.",False
No water bills. No Electric bills. Solar monthly cost is $104. Natural Gas bill averages $46,False
Well maintained /used as a Summer rental,False
In attached documents please include signed NSA disclosure & Condo Docs Addendum with all offers.,False
Property being sold as is.   Pre listing inspection available.  Roof at end of life.,True
Home is being sold 'as is'.  Furnace not working and property may not qualify for conventional funding.,True
"Pets restricted to one pet under 35 pounds. Buyer to pay non-refundable $4,500 capital reserve fund contribution fee at closing. Gas grills and all open flame devices not permitted after 10/31/24.",False
Passing Title V for both Carriage House and Main House.  The roof was completed 2/2024.  Putting Green was completed 3/2024 includes night time lighting.  Buyer and buyers agent to verify all information here in,False
"3 Season, not year-round ; Long Pond has 50HP Motor Limit ; All information is believed to be accurate, buyer and buyer agent to perform own due diligence and verify all information contained within. Ask LB on special conditions that apply.",False
"Refrigerator does not convey, D-box to be replaced by seller and is already scheduled. Easy to show. Field Card shows 3 bed, however home is 4 bed and has 4 bed septic.",False
New construction. Foundation now in. Anticipated JULY 2024  timeframe for  completion .2 months condo fees collected at closing  from each buyer for the capital reserve fund.Includes Builder selections for lighting/counters/flooring &  $2400 appliances allowance for range/dishwasher/micro*,True
Adult community 55+ ON LEASED LANDmanufactured home. Buyers are subject to residency approval. Buyers/buyers agent to do their due diligence. Oak Point has its own private sewerage treatment plant. Current fee is $751.97,False
2 separate houses (Main House -945sq ft living area/2bed/1ba/waterfront/partially finished basement/main level laundry hookup) (Small House - 367sq ft living area/1bed/1ba/water view/unfinished basement/basement level laundry hookup). Please see attached lead paint disclosure.,True
See floor plan for room dimensions.,False
Rents available upon request. Please do not drive into driveway without an appointment. All information herein to be verified by buyer or buyer's agent. To be sold As-Is. Properties are tenant occupied and 24-hour advance notice is required.,True
Located in AE Flood Zone.,False
See Sellers' Statement,False
The Sellers have agreed to repair the overflow leak and it's resulting damage from the upstairs bathroom prior to closing. Title V Passed. All new windows 2021.,True
Jotul Wood Stove (has not been used in years). Flood insurance required.Seller to install new septic system.,False
Chimney needs repointing.,False
Photos are from unit 2,False
Buyer and / or Buyers agent to verify all information.,False
"Refrigerator, Washer & Dryer included. Buyer's & Buyer's agents to verify all information for accuracy. Seller & Seller's agent make no warranties or representation either expressed or implied.",False
"New automatic whole house generator. Seller ready to install new 4 bedroom septic. 10+ acres includes subdivided buildable 5 acre lot with recent percolation test. See attached subdivision plan/survey recorded at Registry of Deeds, describes Lot 4A 5+ acres with house and Lot 4B 5 acre buildable lot",False
"$1,500 for septic reserve fund and 3 month reserve of condo fees due at closing.",False
"Home is being sold in ""as is"" condition. Buyer is responsible for obtaining the smoke certificate. Offers, if any, are due by Sunday, 8/11 at 5 PM. Seller reserves the right to accept an offer before 8/11.",True
Deeded parking space located at 350 North St. w/ Quarterly fee of $425.,False
All information in MLS and all marketing materials for this home are deemed accurate but should be verified by buyer/buyers agent. Roof approx 2021.Showings start Sat. 8/24 at OH 11-1:00 and Sun 8/25 from 12-1:30. Any offers due Mon. 8/26 by 5:00pm. Please make offer good to 8/27 at 5:00pm. Thanks,False
Unit owners split common cost  ie Master insurance approx $1000 each yearly..any common expenses are split as needed,False
New  furnace and AC 2022,False
Estate sale.,True
Video cameras on site. Washer and dryer to stay as a gift from the sellers no warranty.,False
"Room sizes are approximate. Upstairs bathroom tub will need to be replaced. Subject to seller finding suitable housing, actively looking.",False
"Title 5 scheduled for August 8th washer, dryer and refrigerator included in sale.",True
"Natural Gas whole house, town sewer, town water, Hot water tank(2021) Roof (1997) Rear Roof on garage (2010), Sump Pump(2014),Hardwood most of the house,Under rugs in Lvng room,dining room and bedrooms.Full house generator wired in.Shed included.All maintenance records in hand.",False
"Showings to begin at the first Open House on Thursday, July 18th @ 5 pm. All offers will be due on Monday, July 22rd by 7pm. Offers to be submitted in one clean PDF file, including the buyer agents full contact information.",False
Family Home - Seller has not lived at Property. Property to be Delivered Empty on/by 09/01/2024,False
"New conversion, taxes are this units share of the building until reassessment, Sq footage is estimate until final condo docs. Broker has ownership interest in property",False
Slider door has a few breaks in the seal; Hardwood flooring has a few worn areas; Vent in Main BA not working; Basement is full but lower than normal height;  This is an over 55 yr community.,True
"Information deemed reliable, but not guaranteed. Buyer and buyer's agent to do their own due diligence with measurements and documents.Seller has never lived at the house. Seller reserves the right to accept an offer at any time.Offers to be emailed. Group showings will be arranged &OH to take place",False
Seller reserves the right to accept an offer at anytime.,False
Stainless steel kitchen appliances to be installed prior to closing. Final HOA dues may change as final operating budget is modified. Property under construction. Use caution on job site. Anticipated date of closing mid July.,False
Seller's disclosure attached. Basement has no permit being sold as is.,True
De-lead letter of compliance available for unit 1.,False
Contingent upon seller finding suitable housing.,False
Motivated seller,False
Buyer and buyer agent to do due diligence.  Measurements are approximate.,False
Photos are from a furnished model home.,False
Property is being sold 'As Is.' Seller has not occupied the property and makes no representations or warranties regarding the condition of the property. Buyer to perform due diligence. Parking spots are on the private way but are not deeded.,True
Room sizes are approximate,False
Agent is related to seller.  One light switch in main bedroom is not working.,True
Seepage in basement during heavy rains. Buyer's and buyer's agents to do their due diligence.,True
"Minor water seepage in basement only when heavy storms occur. Solar panels are leased, lease must be assumed by buyers. Sellers pay $244/ month for solar panel lease",True
Fireplace never used. See Escrow Agent Notification and Limitations disclosures attached.,False
Taxes are an estimate. One year builders warranty included. Living Area is approximate. Condo Fees and Taxes TBD and both listed here are estimates. Photos are of unit 9 which is staged and under contract.,False
Buyer and Buyer's Agent to do their own due diligence. All measurements are approximate.,False
Buyers & buyers agent to conduct own due diligence. Third bedroom on 3rd floor has no closet. Offers are due Tuesday 8/6 by 12 PM.,False
"All measurements approximate. Property under construction. Cash, Hard Money, etc only, will not qualify for conventional financing. Seller financing available, ask for terms. No trespassing, do not walk property without listing agent, cameras in use.",False
Title V is not done yet. Contingent on seller finding suitable housing (already under agreement on another property) Home to be sold as-is.,True
Oversized garage 23x30  - Generac generator - Reeds Ferry shed - tankless h/w - title V approved.,False
"Listing Agent is related to the Seller. Seller to credit Buyer $2,000 for a new fridge. Few windows have broken seals. Furnace has just been serviced and cleaned.",False
Shown by appointment only.,False
whole house fan not working.  Pool liner will need to be replaced soon.,True
Separate electric & gas meters. Property was previously heated by oil.,False
Property is in a 100 year flood zone.  Master Insurance Policy covers the flood insurance through the HOA.,False
"Contingent upon Seller finding suitable housing/identified, see broker for details",False
"The seller have never lived in the property, listing agent has financial interested in the property. lot size is unknown. the garage door is not working properly. seller can fix it upon buyer's request. some photos are virtually stage including landscaping. Also Listed as sfr mls #73275070",True
Lead test done in '95- no reports avail. There is one unused empty oil tank in basement. 3 leases ends 8/31/24 and one lease ends 6/30/24. One is a TAW. Will require commercial financing because it's more than 4 units. City records have an inaccurate room count. Annual expenses/income based on 2023.,False
"Special assessment November 2024. Price to be determined,Bathroom sink drain doesn't latch.Tub drain latch isn't functioning, Plans for marketing purposes only.Seller would like an end of September closing.",False
On Street Permit Parking Only. Listing agent has a financial interest in the development.,False
Building is almost complete. Condo fees and square footages are estimated. Completion estimated as June 2024.,False
"EV Level two charger for your car being installed at pkg space 28 in the next 30 days.   At this time the association is paying the tax bill to the city, until the city assesses individual units directly  Individual units pay the association their interest.",False
"H&B due 8/12 @ 6 Subject to the seller finding suitable housing. The 1st-floor bathroom has a plumbing leak & large split at the top of the sewer pipe in the basement. Lead paint to acc. all offers, All deposits through deposit link. The property is being sold as is. No escalation/personal letters.",True
Voluntary Association fee of $300-$400/year for lights and landscaping. Well for irrigation only. Septic is for a 4 bedroom system.,False
"ALL OFFERS DUE TUESDAY, AUGUST 6th AT 12:00 P.M. (NOON), PLEASE MAKE GOOD THROUGH WEDNESDAY, AUGUST 7th AT 10:00 A.M. A few of the windows have broken seals.",False
"room sizes are approx, floor plans are for marketing purposes only.",False
Per sellers - basement gets some water in few spots during extreme rain. Improved greatly with gutter guards and landscaping.,False
Variance for back left corner of garage that touches neighbors property. FP has not been used. 2 sump pumps in basement. 4 bedroom septic. One broken seal in Living Room. Some wetlands at right rear/side of property.,False
see floor plans for approx room sizes. Propane tank is leased.,False
Seller is a licensed agent.  Seller has never lived in property.,False
All but 2 windows are original. There is no garage door remote. This must be owner occupied.  Sold As Is. Seller did not live in the unit.,True
"Roof replaced in 2013, 1 heating system replaced in 2019 and water heaters in 2018 and 2023. Some seepage in basement in heavy rain.",True
Age of boiler unknown. The condo association took out a loan that matures in 2031 to pay for building new rear decks and other repairs. This unit's monthly loan payment is $298.90 until maturity. Property is sold as-is. All information is to the best of the agent's knowledge.,True
Exterior camera may be in use.,False
RT 28 to Quinaquisset to Harwich,False
Buyers to pay $4500 non-refundable fee at closing for Capital Fund,False
Buyer and buyer's agent to do their own due diligence and verify info. Public record states property is a 2 bedroom home. Septic system is a 4 bedroom design per previous title v.,False
There 188.00 monthly condo fee for the valet parking.,False
Solar Loan in place. Pool was not opened this season. Opened and operated last season.,False
"Refrigerator in main house ""as is"",.  Permitted occupancy for accessory apartment in hand. Release in process.",True
Subject to sellers finding suitable housing,False
"Septic did not pass Title 5, up to buyer to upgrade. See report and plan attached. Flood insurance may be required if financing.",True
"Public record states that there are 3 bedrooms.  There are 2 bedrooms on first floor, second floor is a partially unfinished attic space with 2 finished rooms.  Second floor is currently unheated.  Estate Sale - seller has never inhabited the home.  Property is being sold as-is.",True
Listing agent is related to Seller,False
Subject to sellers finding suitable housing. Property under contract. Buyer to assume solar contract with Sunrun. Seller provided listing info. Broker makes no warranties or guarantees to accuracy. Buyer and buyer’s agent must verify all information and perform their own due diligence. Sold as-is.,True
"All measurements are approximate and for advertising use only. Buyers and Buyers agent to due their own due diligence. Field card lists as 3 bedrooms, however there is a 4th bedroom on the second level",False
"This is a new condo conversion. Condo docs/budget, unit taxes and condo fees are estimated.",False
Listings Agents have an interest in the property.,False
Quote available for refinishing hardwood floors. Stove not working. Fireplace never used.,True
Unit 2 is currently vacant. It can be rented or delivered vacant depending on buyer preference. Rent set to market rate.,False
Subject to Seller finding suitable housing. The property has been identified. Gas line is on the street.,False
Buyer and Buyer’s agent must verify all information and perform their own due diligence. Ring devices on property disconnected for showings and Open Houses.,False
Fireplaces not in working order. Replacement windows in bedrooms and family room. Older roof. Owners share lawn maintenance care and snow removal expenses,False
"electric fireplace is negotiable as well as the corner hutch in dining area. If writing an offer, PLEASE use lead paint disclosure attached to listing.",False
Seller or listing agent make no representations or warranties. Measurements are estimated. Buyer and buyers agent do your own due diligence.,False
Seller is licensed real estate broker.,False
Central Air installed in 2023. Fence installed in 2024.,False
Buyer's and buyer's agent to do due diligence.,False
"Buyers and buyers agents responsible for all due diligence. House sold ""As-Is"". 2 Units on the 2nd floor has laundry hookups in the basement.",False
"Adjacent Lot at 76 1/2 Providence St belongs to Worcester Academy. Rent for 1st and 2nd fl are projected, current rent for 1st can be delivered vacant and 2nd fl is vacant, 3rd fl has sec 8, subectj to the release of affordable housing restriction which time constraint has passed, 3 bd has no closet",False
"SOLD AS IS. Seller(s) have not lived in property for years. Unknown working of fireplaces. New (this past Spring) 1st flr. on demand, gas hot water/heating system. Walk-up attic. It appears that there are hardwds under carpet in the living/din. rms on first flr. HIGHEST & BEST OFFERS BY 5PM 8/6/24",True
Up & Ready for IMMEDIATE occupancy!,False
The home has two sump pumps that rarely go on (per seller). The pool liner is older.,False
UNDER CONSTRUCTION - CLOSE IN 4 MONTHS! Duplexes have shared septic - see listing agent for HOA details and responsibilities. All measurements are approx. Buyer and buyers agent are responsible for verification of all information and to perform due diligence. 40B Approved Community.,False
Recorded easement on property.  Measurements are approximate.  Contingent on Seller finding suitable housing.,False
New 1500 gallon septic system to be installed prior to closing.,False
Second parcel @ 0 Temple Street .64 acres unbuildable transfers with the property.,False
All data and information provided are from sources deemed reliable but not guaranteed and should be independently verified. Buyers and buyer's agents are encouraged to conduct their own due diligence.,False
"Town has home as 2 bedrooms but home being used as 3 bedrooms. One room does not have a closet. See attached Title 5 report (septic design for 3 bedrooms, 2 bedroom deed restriction on house for lot size). Light inside refrigerator is broken. Buyer/Buyer's agent responsible for verifying all info.",True
INFORMATION PROVIDED AS A COURTESY.  ROOM MEASUREMENTS ARE APPROXIMATE.  BUYERS TO PERFORM THEIR DUE DILIGENCE.,False
Costs associated with docs or forms required for Buyer's financing to be paid for by the buyers. All measurements approximate. Listing is provided as a convenience. Buyer and/or buyer agent to verify all information prior to making an offer.,False
This listing is provided as a convenience to the Buyer. Buyer &/or Buyers agent to verify all information prior to making an offer. All measurements are approximate.,False
Seller has not resided in the property for many years.,False
Security Camera in Building.  Measurements are approximate.   Buyers to perform due diligence on all info provided.,False
Seller has never lived at the property. Some pictures have been virtually staged for marketing purposes.,False
"Still a relatively new community, the condo board is currently in the process of transitioning from developer to the owners. Developer is Mark Smith, well known in the area, Maritime Landing is just one of several planned communities he has established on Cape Cod.",False
"Sold AS-IS, seller has not recently lived in the property.  Some photos are virtually staged.",True
Interior photos are of Seal-Harbor's previously built homes and similar to be built.,False
Possible lead paint due to age. Asbestos in basement crawl space,False
Estate sale. Seller is personal representative of decedent and has no knowledge of the property. Sale is subject to representative obtaining a license to sell.,True
Sellers purchased the property in Dec. 2001 and performed a gut renovation over the next few years with a waterside three-story addition (expanded the footprint) designed by Siemasko & Verbridge. Sellers have never applied for a dock of any kind.,False
See sellers' statement onlineTitle 5 being performed this week,True
There is no record of septic design with the town. Title 5 pass 3 bedroom septic design,True
Home is Selling As-Is / No heat on the third floor,False
"Buyers and buyers agents are urged to conduct their own due diligence and not rely on any information contained herein. Assessors 2025 Property Card has been updated to 3 bedrooms, 2024 property card inaccurately states 2 bedrooms.",False
"House being sold ""as is"". All appliances convey with the property in ""As Is"" condition",True
Room measurements for advertising purposes only. Buyer to verify. Overall square footage taken from public record.,False
"Right side garage door does not open. In basement, faucet and light fixture need minor repairs. Ice maker in refrigerator does not work. Water entered basement during flash flood that affected much of Belmont in 2021; basement has a sump pump and French drains. Main roof installed in 2005.",False
"Public Records has 2 Bed 1 Bath, Property has additional Bed & Room in 2nd fl and 1/2 bath in basement. Sump and takes some water in the basement.All information deemed reliable from seller and public records but should be verified by buyer/buyers agent prior to offering.",False
"Improvements: roof, windows, siding, high efficiency heating system, electrical.  Seller has never lived in home. Estate sale property sold ""as is."" Property has been probated. Docs in hand. House is vacant. New washer in basement included in sale",True
"Agent is related to seller. Building is currently being remolded with new roof, and trim. The following are also being replaced, All windows, slider, siding & trim, Deck, Gutter, and brick repair & sealing. See documents attached.",True
Unit may be purchased separately or with unit 2 above.  Please see MLS #73223527,False
The pool shown in the cover photo is a conceptual rendering.,False
"Fireplace insert included, 2 window ac's included. Association move-in fee of $100.",False
Regarding possible cooperating compensation: Seller is willing to entertain any and all requests. Listing Broker instructs Buyer agents to put any proposals in their offer.,False
Regarding possible cooperating compensation: Seller is willing to entertain any and all requests. Listing Broker instructs Buyer agents to put any proposals in their offer.,False
"The hot water in the 1st floor bathroom tub not working.  Needs a new mixing valve.  Upstairs bathroom light fixture has one light that doesn't work.  Watermarks in primary bedroom ceiling are from water leak prior to replacing the roof. HW tank leaked in 2021 and was replaced, explains water marks.",True
Title 5 is not done it will be ordered once offered is accepted.  System was cleaned and serviced in 2024. The finished area in basement with fireplace is not included in sq footage,True
Window AC units in bedrooms and all affixed shelving and closet organization to convey with sale.,False
Taxes do not include Boston Residential Tax exemption. Photos are from a previous occupant. Stain on bathroom ceiling predates seller and has never been an issue. Floating floors have some bounce to them in a few spots.,False
"Condo fee is estimated. Real estate taxes To Be Determined. Buyer must be an Owner Occupant (see City of Boston's Covenant), and there are no resale restrictions on price. 1 parking spot will be available on a 1st come 1st served basis for the first 2 Buyers of the building (include in your offer).",False
"Seller will be installing brand new 3 bedroom septic system prior to close, engineering plans in hands, town approved.",False
"No seller disclosures.  Buyer/Buyer agent to verify all information obtained herein is true, accurate and complete.",False
Sellers owned this hose for two months.  Buyer and buyers agent to do their due diligence,False
"Unit 2+3 are the same layout at Unit 1 but does not have the wall down between the living room and kitchen, ask agent for more details.",False
Bsmt pool table will remain with the property.,False
Room measurements are approximate. Basement bonus room & 1/2 bath are approx 350 sqft of the total living area. Seller is a licensed real estate agent. Seller has never lived in the home.,False
no showings on wednesdays. kitchen & bath will need updating.,False
"Some  broken window Seals. The microwave handle needs replacement. No monthly condo fee Owners split master insurance/ Water and sewer as bills come in and share in lawn and snow expenses, Garage in ""as is"" condition.",True
"House is only plumbed for Central Vacuum, Range & Dryer electric or gas ready. A portion of the lot is designated wetland. Basketball hoop is a gift to new owner",False
"The seller will need to occupy the property through September 5th (moving out of state). The seller is willing to negotiate a leaseback agreement through that date. A cat is located in the unit. The property was converted from a 3-family to condos in 2023, hence the $0 for taxes.",False
Easement in place for driveway to the back house.  The filtration system does not work.  Home is being sold AS IS.,True
Owners are licensed real estate professionals in MA. Agency has vested interest. Buyer/buyer's agent to do own due diligence. Seller has never occupied the property. Buyer to verify if property is in a flood zone.,False
Finish work left to be completed throughout home - most rooms need trim and finish work. One of the 2nd flr bdrms needs a ceiling & wall work but could serve as a great primary BR with hollywood BA access and rear staircase access. Back rm 1st floor is unheated.,False
"Ongoing environmental testing on premises, which may result in future assessment - ask agent for details. Condo fee increasing to $213.12 as of 9/1 as per management/board. Seller is licensed real estate agent and has not lived in unit.",False
List agent is owner and has never lived in the property.,False
No heat in basement; Seller has not lived in the home,False
**********10% increase in condo fee beginning January 2025.Master deed and rules and regs  Book 6881/004 through page 121,False
No dogs allowed in building.,False
Basement space not included in total living area square feet and is approximate. Buyer to do own due diligence.,False
Buyer and buyer's agent to do all due diligence. Sellers and sellers agent make no representation. Seller to accept an offer at any time. ARV $450K PLUS,False
Seller has never lived in property. Buyer to verify all info. Photos are from previous listing. Property is fully occupied. 3rd Floor unit to be vacant by 7/1.,False
Foyer ceiling has small crack under vent                                                                                                                                                                                                                    Apple and Peach Trees located in backyard,False
"The owners have never resided in the property. Property will sell ""As Is & Where Is condition"" The new bulkhead stairs will be completed, and a microwave will be added to the kitchen.",True
Buyer to conduct due dilligence. All units metered separately.  First floor appliances belong to the tenant.  2nd and 3rd floor appliances to be conveyed with the sale of the property. Possibility of one unit to be vacant at closing.,False
"owner has not lived in property , owner is a real estate licensed agent.",False
Please reach out to list agent to schedule a showing.,False
Gazebo and fire pit to remain. Some notice required.,False
The seller is a licensed real estate agent.  The seller never occupied the property.,False
Seller does not reside in the property,False
"1st floor stove to be sold prior to closing. Both units share heating system, hot water and electric meter.",False
Please see feature sheet attached to the listing. Room measurements are approximate and should be verified by Buyer. Listing agent is related to the Sellers.  Whole house fan is currently not being used due to attic insulation.,False
"Some fire damage on one side of the house, fully gutted second floor, plumbing remains for second bathroom. Subject to Sellers Successful Closing on Suitable Housing.",False
Agent has ownership in property.,False
unit comes with 2 assigned spots per master deed which are located in the rear of the building. Seller and seller agent make no representations or acknowledgements on the info provided. Property is in disrepair and is being sold as is. Children will not be allowed on premises. Cash or specialty loan,True
"This property is sold AS-IS with NO SELLER DISCLOSURES. The seller has never occupied the property, and neither the seller nor the listing agent guarantees the accuracy of the information provided. It is the responsibility of the buyer and the buyer’s agent to perform all necessary due diligence.",True
"Property Sold ""as is in condition "" Seller does not live on property and makes no representations ~ Cash buyers Only ~ most likely Will not qualify for a loan ~Land court approval of deed is required to close~Central air not in working order",True
Photos shown are similar to actual and are for illustrative purposes only and may not represent upgrades that are not included in the Base Price.,False
cash or rehab,False
See attached,False
All information contained herein is to the best of the agent's knowledge.The source of all representations are directly from the Seller or public source & haven't been independently verified by the agent/brokerage. Buyer's due dilligence. Two months of HOA fees due at closing.,False
"Seller & broker make no representations or warranties & the information herein is subject to revision. Buyer is advised to perform due diligence, inspection, verification of condition & contract terms prior to closing. DO NOT enter property if not feeling well.",False
Agents and buyers must perform own due diligence. No representations or warranties expressed nor implied by the listing agent.,False
Sunroom off of dining room has electric heat,False
"Sold ""As Is""",True
"Seller & broker make no representations or warranties & the information herein is subject to revision. Buyer is advised to perform due diligence, inspection, verification of condition & contract terms prior to closing. DO NOT enter property if not feeling well. Sold AS IS.",True
Drywall around new tub to be finished prior to closing. Seller reserves the right to accept an offer at any time.,False
Front lawn is virtually enhanced some photos virtually staged.,False
All information is best of seller and list agent's knowledge. Buyer and buyer's agent responsible for due diligence.  Title V will be done in the next few days.  Garage not used for vehicle parking - used for storage.,False
Room Dimensions on Floor Plan are approximate.,False
Seller's family have never lived in property and make no representations. Sold as is. Sunroom unheated,True
Seller & broker make no representations or warranties. The information herein is subject to revision. Buyer & representative are advised to perform all due diligence. Pictures may be virtually enhanced. Septic Verbally Failed - Sellers Installing New System. Potable water provided by Town BOH.,False
Property is registered with the town as a two family.,False
There is a gas connection that was shut down and capped years ago by previous owners. The basement has no heat source. The standing freezer in the kitchen is not included. The refrigerator's fan does not work.,False
"Property has robotic lawn mower, boundary wire needs repair. Radiant heat is in family room and full bath on second floor only. All info APO.",False
Home sold as-is,True
"Living area approx , seller is licensed real estate agent",False
"List agent has ownership interest; Subject to 1031 exchange; Easement agreement for driveway to be recorded at closing; 23 Maple to have pedestrian use; 23 Maple is also available to purchase, see MLS 73251067",False
Information is deemed accurate but not guaranteed. Buyer & their agent to do own due diligence. Recording device on premises. Solar panels are leased & transferable Kitchen stove is propane-tank is rented.,False
Listing agent is related to Seller.,False
Buyer responsible to verify all info. Electric heat in basement.,False
Sale contingent upon Seller's Successful Closing on New Home (Closing date is set for 8/21). Please include this statement in your offer.,False
Commission is based on sale price minus any seller concessions.,False
"Assessment, taxes GLA and HOA fee are estimates. Owner is agent.",False
Third Bedroom has no closet. Sump Pump in basement,False
"Lower level was partially finished, but incomplete. Potential mold in garage, peeling paint, and 30+ yr old roof, so home will not qualify for VA or FHA financing. Betterments (if any) will be assumed by buyer. Seller reserves the right to accept an offer at any time.",True
seller has never lived in the house and has limited knowledge. Water line to tub disconnected due to leak. Leak in flat roof near spiral staircase. Septic is for 2 bedrooms. Town has it listed as 2 bedrooms. The second bedroom appears to be in the basement.Sale is contingent on obtaining lic to sell,True
Buyer/buyer's agent to perform due diligence-verify all info. Oil tank replaced 2016. Additional wood furnace in basement is sold as-is. Harvey and Anderson windows throughout. Picnic table stays,True
